id,created_at,text
588959789171912704,2015-04-17 06:58:50,b'@OfficialRCTI manaa nih :((('
588959644090937344,2015-04-17 06:58:16,"b'@OfficialRCTI manaaa , ko blum mulai ??? malah X factor yang main :(('"
588955753282723840,2015-04-17 06:42:48,"b'teu ngarti aing mah sama jelema nu bobogohan mang taun-taun, itu teh bobogohan atau program KB blog? :('"
588954803130277888,2015-04-17 06:39:01,"b'RT @caprukBDG: Ketika kalian bisa buat gelembung dina ciduh, sementara temen kalian gabisa itu kaya.. \xf0\x9f\x91\x87 :( #cb http://t.co/EI70DXmR5Y'"
588951298357104640,2015-04-17 06:25:06,"b'Udah syukur siateh di bere hate ku aing , malah menta paru paru :(('"
588675465222574080,2015-04-16 12:09:02,"b'Hati kamu tuh keras yah.. kaya bala-bala, tapi adonan na make semen!! :(('"
588304504837120001,2015-04-15 11:34:58,b'bila galau melanda sia cobalah lompat dari atas jembatan pasopati smoga trobati :(('
588214119121158145,2015-04-15 05:35:49,b'jauhi narkoba dekati kabogoh batur :(('
588148670757019648,2015-04-15 01:15:45,b'Wilujeng #ReboNyunda dulur2 sadayana..'
588147289467854849,2015-04-15 01:10:15,b'nyulik kabogoh batur :(( RT @banyolanhidup: apa target jangka pendek kamu? #PERSIBday'
588146630504931329,2015-04-15 01:07:38,"b'Iya deh kabogoh kamu mah beunghar. Saking beungharnya, Ombeh aja pake duit Kacida sigoblog mah :('"
588145915946467328,2015-04-15 01:04:48,"b'RT @Tisereleu: teu ngarti aing mah sama jelema nu bobogohan mang taun-taun, itu teh bobogohan atau program KB blog? :('"
587942406785335297,2015-04-14 11:36:07,"b'Penyesalan itu selalu datang di akhir , lamun di hareup nama nya Pendaftaran'"
587758707355713536,2015-04-13 23:26:10,"b'Modol bareng @AsliGoblok #JawabGoblok sayang, tahun depan kita ________ bareng ya.'"
587757238049095680,2015-04-13 23:20:20,b'Cinta bertepuk sebelah tangan mah udah biasa guys. Yang ga biasa mah karek kaluar imah jol dituduh ngabangsat kotak amal :(((((~'
587625001328582657,2015-04-13 14:34:52,b'RT @Awasdadas: Kalian kalo jadi orang plis lah jangan suka riweuh gitu. Mau gitu entar maot nya dihijikeun sama yang lagi hajatan? :(((('
587623010258919424,2015-04-13 14:26:57,"b'Sia mah dak kalakuan teh teu uyahan pisan, moal enya budak leutik abong2 gundul ditekean tiap panggih.'"
587621161074200576,2015-04-13 14:19:36,"b'emang bisa apah kalo selfie sekali lgnsung jadi artis :(( , eta geuningan di iklan IM3 bisa ceunah #BahasaDaerahmu'"
587407234356752384,2015-04-13 00:09:32,"b'#UN2015  jangan lupa baca bismillah ya gaes , trus jangan lupa siapin HP nya supaya bisa kontekan sama temen2 :('"
587402972281225217,2015-04-12 23:52:36,b'Harus terima kenyataan kalo ayeuna poe senen :('
587402156447113216,2015-04-12 23:49:22,b'Di bere tiris kieu tuyul ge make jaket ciganamah'
587237436553474048,2015-04-12 12:54:49,b'@banyolanhidup aing iraha bisa kitu nyol :(('
587222259598630912,2015-04-12 11:54:31,b'RT @dodisanjaya: Iyah.. https://t.co/HNWZJQG945'
587222086118084609,2015-04-12 11:53:50,b'RT @resonansitvri: SAKSIKAN RESONANSI SETIAP HARI SABTU PUKUL 18.00 - 18 55 WIB DI TVRI JAWA BARAT\nFOLLOW TWITTER : @resonansitvri'
587181201896513538,2015-04-12 09:11:22,b'@dodisanjaya kang ari preman pensiun 2 maen ayeuna jam 17.00 ??'
587179486271049731,2015-04-12 09:04:33,"b'sok geura arapdet status hujan , kaburu raat engke ripuh :('"
587179300329132032,2015-04-12 09:03:49,b'RT @Persibjawara1: Persib membawa motivasi dan stamina yang tinggi ka Laos! Ceuk Coach djanur ! #PersibGoesToAsia'
587179236558946304,2015-04-12 09:03:33,b'@KomediSunda paningan teh ngolomohan coklat hayam jago nu gopean :('
587178890407186432,2015-04-12 09:02:11,"b'@olegunnnn pastikeun ngerjakeun ujian na kudu make pensil lain make otak , da otak mah teu bisa di pake nulis :(('"
587178050451742720,2015-04-12 08:58:51,"b'RT @mirip_baim: Biasakn mun bade ngumpulkn soal sareng lembar jawaban kdu dipisah,kade dipisahna ulah jauh2 nanti kangen :(( #tipsUN @olegu\xe2\x80\xa6'"
587177978443894785,2015-04-12 08:58:33,"b'RT @NizarAprian: @olegunnnn isian ngaran sorangan anu asli, lain ngaran pesbuk ataw twitter, komo ngran samaran tina ujang jd sebastian mah\xe2\x80\xa6'"
587177904078884865,2015-04-12 08:58:16,"b""RT @aditsupper: Omat dibuleudan tong di coblos! Da lain pilkades :'D @olegunnnn #tipsUN"""
587176903208931328,2015-04-12 08:54:17,b'RT @bacotaingnya: Kasih tau mang @olegunnnn -&gt; RT @AingGorengPatut: @bacotaingnya EBTANAS teh naon :(('
587176883072081920,2015-04-12 08:54:12,b'RT @olegunnnn: UN aisia cot RT @bacotaingnya: Kasih tau mang olegunnnn -&gt; RT @AingGorengPatut: @bacotaingnya EBTANAS teh naon :(('
587176523733471232,2015-04-12 08:52:47,b'iyeu budak mabok batu ali cigana :c http://t.co/OPDmgpgHpi'
587095927774584832,2015-04-12 03:32:31,b'@bacotaingnya EBTANAS teh naon :(('
586710660530089985,2015-04-11 02:01:36,b'RT @Musingkeunn: #welcomeTweet @oox_tokajitokay @HIRUPAINGMAAING @ceprinuryana @bungyana @AingGorengPatut @iridwan920 via http://t.co/KKkoU\xe2\x80\xa6'
586465698358038530,2015-04-10 09:48:13,"b'Neng!! sia teh jgn suka mainin hati Aa , da aa teh lain Tisuu anu bisa di pake trus di piceun ka solokan'"
586464524196188160,2015-04-10 09:43:33,b'@BelegugPisan korong na lmun geus sakilo bisa di jual teu ka tukang loak :(('
586464221480665088,2015-04-10 09:42:21,b'@horeamin urang mah batu nisan :('
586462827071668224,2015-04-10 09:36:48,"b'@sagalaedan @dijahyellow Kabogoh saha eta A, meuni hinyai bengeut na :('"
586460010005168128,2015-04-10 09:25:36,b'Lagi kangen seseorang:(( nu benget na Hinyai ciga ucing teu di bere dahar sataun :('
586458989778485248,2015-04-10 09:21:33,"b'Neng walaupun muka sama dada neng datar , aa mah tetep cinta da sama Neng :('"
586456971731079169,2015-04-10 09:13:32,b'@LedisBageurr Pollbek teh :('
586108117219352577,2015-04-09 10:07:19,b'andai saja duit bisa di download :(( mungkin aing hnnteu seripuh ini'
585771349269815297,2015-04-08 11:49:07,b'@MentionSimi banyak'
585751446953398272,2015-04-08 10:30:02,"b'Sayang maaf yah kau ga bisa jaga hati kamu , soal nya aku lagi jaga warung loba nu balanja :(('"
584529673855434752,2015-04-05 01:35:08,b'Semoga kamu cepet putus sama kabogoh kamu yang mukanya caludih kaya karesek Gehu yang sararoek itu :(( #aprilmop'
584327839555551232,2015-04-04 12:13:07,"b'Kamu tuh kaya anting magnet, meskipun udah coplok tapi masih tapakan di hati aku :('"
584325024305131520,2015-04-04 12:01:56,"b'RT @persib: walaupun banyak kendala yg terjadi. ini pelajaran untuk kami, smoga kedepanya tdk terjadi lagi. hampura :('"
584324752644284416,2015-04-04 12:00:51,b'@Latiief_A diem di teras ngeliatin gerhana bulan :('
584324432967020544,2015-04-04 11:59:35,b'malam mingguan mah cicing we ah di teras bari nempo keun Gerhana Bulan sugann weh aya manusia serigala ngaHiung :v'
584318374521376768,2015-04-04 11:35:31,b'RT @FP_VIKINGPERSIB: Peristiwa lampu padam ini jelas bukan karena adanya program Earth Hour. Seharusnya pengelola stadion Si Jalak Harupat \xe2\x80\xa6'
584318119830691840,2015-04-04 11:34:30,b'#QNBLeague2015 pareum lampu anjiss :(( rugii'
583988716953346050,2015-04-03 13:45:34,"b'Dulu tuh paling ngebetein banget kalo maen ucing sumput, terus nu jadi ucingna teh ngokok wae ngajedog we teu neangan :('"
583986165251907584,2015-04-03 13:35:26,b'RT @infocapruk: Sesungguhnya cinta itu lahir di hati. Karena yang lahir di gunung huakuo mah sun go kong si kera sakti :('
583985799495942145,2015-04-03 13:33:59,b'#TigaKata aing acan ombeh'
583786189414539266,2015-04-03 00:20:48,"b'Moal mandi, lauk oge mandi wae hanyir :(( #RIPDAcademy2'"
583572539235926016,2015-04-02 10:11:50,b'geus lingali ibu2 mawa motor can? sok keheul teu? mawa na ciga siput lalaunan bari ngaragokan batur nu di tukang :(('
583571111457067008,2015-04-02 10:06:09,"b'Jadilah jomblo yg bahagia dengan melihat pasangan nu baheulana bobogohan di gang. Pas putus, silih kekeak jeung mantanna di gang oge :('"
